            Zeit	 pressure_Vacuum
               s	            mbar
     2046.910000	      918.296082
     2046.915000	      918.296204
     2046.920000	      918.328491
     2046.925000	      918.323059
     2046.930000	      918.326050
     2046.935000	      918.332825
     2046.940000	      918.309082
     2046.945000	      918.330872
     2046.950000	      918.318359
     2046.955000	      918.331909
     2046.960000	      918.356934
     2046.965000	      918.311829
     2046.970000	      918.305847
     2046.975000	      918.345703
     2046.980000	      918.320984
     2046.985000	      918.347534
     2046.990000	      918.312622
     2046.995000	      918.320862
     2047.000000	      918.424255
     2047.005000	      918.359558
     2047.010000	      918.402527
     2047.015000	      918.543762
     2047.020000	      918.835327
     2047.025000	      919.051208
     2047.030000	      918.891357
     2047.035000	      918.912598
     2047.040000	      919.131958
     2047.045000	      919.363770
     2047.050000	      919.541565
     2047.055000	      919.566589
     2047.060000	      919.851013
     2047.065000	      919.957214
     2047.070000	      920.078857
     2047.075000	      920.097778
     2047.080000	      920.133606
     2047.085000	      920.396362
     2047.090000	      920.350525
     2047.095000	      920.142334
     2047.100000	      920.300476
     2047.105000	      920.888062
     2047.110000	      920.587097
     2047.115000	      920.550781
     2047.120000	      920.907104
     2047.125000	      920.387634
     2047.130000	      920.656189
     2047.135000	      920.931091
     2047.140000	      920.344788
     2047.145000	      920.497375
     2047.150000	      920.827087
     2047.155000	      920.764832
     2047.160000	      920.833862
     2047.165000	      920.684326
     2047.170000	      920.602112
     2047.175000	      920.857422
     2047.180000	      920.704346
     2047.185000	      920.676880
     2047.190000	      920.875183
     2047.195000	      920.756714
     2047.200000	      920.345459
     2047.205000	      920.789978
     2047.210000	      920.980591
     2047.215000	      920.497375
     2047.220000	      920.687439
     2047.225000	      920.767456
     2047.230000	      920.947205
     2047.235000	      920.921143
     2047.240000	      920.590637
     2047.245000	      920.574890
     2047.250000	      920.440125
     2047.255000	      920.887695
     2047.260000	      920.953857
     2047.265000	      920.769104
     2047.270000	      920.963745
     2047.275000	      920.741089
     2047.280000	      920.667358
     2047.285000	      920.896545
     2047.290000	      921.038147
     2047.295000	      920.814087
     2047.300000	      921.045959
     2047.305000	      921.212463
     2047.310000	      920.922180
     2047.315000	      921.110840
     2047.320000	      921.095459
     2047.325000	      921.135193
     2047.330000	      921.288940
     2047.335000	      921.485962
     2047.340000	      921.642395
     2047.345000	      921.597351
     2047.350000	      921.582458
     2047.355000	      921.547852
     2047.360000	      921.831299
     2047.365000	      921.876282
     2047.370000	      922.089539
     2047.375000	      921.886536
     2047.380000	      922.029602
     2047.385000	      922.130188
     2047.390000	      921.929932
     2047.395000	      922.376038
     2047.400000	      922.177979
     2047.405000	      922.063354
     2047.410000	      922.254883
     2047.415000	      922.250732
     2047.420000	      922.256836
     2047.425000	      922.159485
     2047.430000	      922.315857
     2047.435000	      922.283936
     2047.440000	      922.214355
     2047.445000	      922.248718
     2047.450000	      922.180603
     2047.455000	      922.274170
     2047.460000	      922.310791
     2047.465000	      922.208496
     2047.470000	      922.305664
     2047.475000	      922.353210
     2047.480000	      922.273132
     2047.485000	      922.333801
     2047.490000	      922.313232
     2047.495000	      922.303833
     2047.500000	      922.351135
     2047.505000	      922.317139
     2047.510000	      922.315186
     2047.515000	      922.342285
     2047.520000	      922.323425
     2047.525000	      922.315857
     2047.530000	      922.342041
     2047.535000	      922.331848
     2047.540000	      922.318604
     2047.545000	      922.325378
     2047.550000	      922.304749
     2047.555000	      922.312073
     2047.560000	      922.320801
     2047.565000	      922.326294
     2047.570000	      922.341003
     2047.575000	      922.305542
     2047.580000	      922.303711
     2047.585000	      922.329163
     2047.590000	      922.331482
     2047.595000	      922.327576
     2047.600000	      922.331848
     2047.605000	      922.336304
     2047.610000	      922.323792
     2047.615000	      922.325378
     2047.620000	      922.317139
     2047.625000	      922.339661
     2047.630000	      922.359497
     2047.635000	      922.347351
     2047.640000	      922.334229
     2047.645000	      922.340576
     2047.650000	      922.380066
     2047.655000	      922.337463
     2047.660000	      922.322754
     2047.665000	      922.357666
     2047.670000	      922.344482
     2047.675000	      922.328857
     2047.680000	      922.333801
     2047.685000	      922.348145
     2047.690000	      922.325989
     2047.695000	      922.333679
     2047.700000	      922.366638
     2047.705000	      922.335022
     2047.710000	      922.311951
     2047.715000	      922.319885
     2047.720000	      922.326660
     2047.725000	      922.336975
     2047.730000	      922.314819
     2047.735000	      922.316467
     2047.740000	      922.358582
     2047.745000	      922.367981
